,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
10,6,7,7,7,7,7,6,7,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,6,7,7,5,7,7,5,8,7,6,8,5,8,5,7,6,6,7,6,7,6,7,7,7,6,6,7,7,7,6,7,6,6,7,6,7,6,7,6,7,7,7,7,7,6,6,6,6,6,6,8,5,7,7,5,8,5,7,7,6,6,8,5,8,5,7,7,5,7,7,6,7,7,6,7,8,5,8,5,7,6,6,7,6,7,6,6,7,5,8,6
11,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,6,6,6,6,7,6,7,7,7,7,6,8,5,8,6,7,8,5,8,5,7,8,5,8,6,7,7,6,7,6,7,7,6,7,6,7,6,6,6,7,6,7,6,7,7,6,6,6,7,7,7,7,6,6,7,5,8,6,7,7,5,8,5,8,4,7,7,5,8,6,6,7,7,7,7,6,7,7,6,6,7,6,6,6,6,7,6,7,7,6,7,6,6,6,7,7,7,6,6,6
12,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,7,6,7,6,6,7,7,6,6,7,6,6,6,6,6,6,7,7,6,7,7,6,7,5,7,8,6,6,6,7,6,7,7,6,6,7,6,5,7,7,7,6,7,7,5,7,7,6,6,6,7,6,7,6,7,6,7,6,7,7,7,6,7,6,7,7,6,6,7,7,6,6,6,6,7,6,7,6,7,7,6,6,6,6,6,6,6,7,7,7,6,6,7,6
13,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,7,7,6,6,7,7,6,6,7,7,6,6,6,6,7,6,6,7,6,7,7,6,6,6,6,7,6,6,6,6,6,7,7,7,6,7,7,6,7,6,7,7,6,7,6,7,6,7,6,7,7,6,7,6,6,7,7,6,7,7,7,6,6,6,7,7,6,6,6,6,7,8,6,6,1,13,5,0,11,8,8,4,6,7,5,7,7,6
14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,7,6,6,6,6,6,6,6,7,7,6,7,7,6,7,6,6,7,7,7,7,7,7,7,7,6,7,7,6,6,7,6,6,6,6,7,7,6,6,7,7,7,7,5,6,7,7,6,7,5,7,6,8,5,7,6,6,7,5,7,6,5,8,6,7,6,7,6,7,7,6,7,7,7,7,6,6,6,7,6,6,6,6,7,6,6,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6
15,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,7,7,7,7,7,7,6,7,5,8,6,6,6,6,7,7,6,7,6,7,7,6,7,6,6,6,6,7,6,7,7,7,7,6,7,6,6,8,4,8,6,7,7,5,8,5,8,5,7,7,6,6,7,6,7,6,6,7,7,7,6,6,7,7,7,6,7,6,6,7,6,7,6,7,7,6,6,7,6,6,6,6,6,7
16,7,6,6,7,6,6,6,7,7,6,6,6,6,6,6,7,7,7,6,7,7,6,7,7,6,7,7,6,6,6,7,7,7,6,7,6,7,7,7,7,7,7,6,6,7,6,6,7,7,6,6,6,7,6,6,7,6,6,7,7,6,6,7,7,7,6,7,7,7,6,6,6,6,7,7,6,6,7,6,6,7,6,7,6,7,6,7,7,6,7,6,7,6,7,7,6,7,7,7,6,6,6,6,6,7,6,6,7,7,7,6,6,7,7,6,7,6,6,7,7,6,7,7,6,7,7,6,6,6,7,6,6,6,6,7,7,7,6,7
17,6,6,6,7,7,6,6,6,7,7,7,6,6,6,7,6,7,6,6,6,6,6,6,6,7,7,6,7,7,7,7,7,7,6,6,6,7,6,6,6,6,6,6,6,7,7,6,7,7,6,6,7,8,5,7,6,7,6,6,7,7,6,6,7,6,7,6,6,7,7,6,7,7,6,6,7,7,7,6,6,7,6,7,6,7,6,6,6,7,6,6,6,6,7,6,6,7,6,7,6,7,6,6,7,6,6,6,7,7,6,7,6,7,6,7,6,7,7,6,7,7,6,6,7,7,7,7,6,7,8,7,7,3,9,11,0,9,9,6
18,7,6,6,6,6,6,7,6,6,6,7,7,6,6,6,7,6,6,6,6,6,7,6,7,7,6,6,6,6,7,6,6,6,6,7,7,7,6,7,7,6,6,7,6,6,6,7,7,6,7,7,6,7,6,7,6,7,7,6,7,6,7,7,6,7,7,6,6,6,7,6,7,6,6,7,6,7,7,6,6,6,7,7,7,6,6,7,6,6,6,6,6,7,6,6,7,6,7,6,7,6,6,7,7,6,6,7,7,6,6,7,6,6,6,7,6,7,7,6,6,7,6,7,7,7,6,7,6,6,7,6,7,6,7,6,6,6,6,6
19,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,7,6,7,6,6,7,7,7,6,6,7,6,7,7,6,6,7,7,7,6,7,7,7,6,6,6,7,7,7,6,6,7,7,7,6,7,6,7,6,7,6,6,7,6,7,7,6,6,6,7,6,6,6,7,6,6,6,7,6,7,6,7,6,6,6,7,7,6,6,6,7,6,6,6,6,7,6,7,6,7,6,6,7
20,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,7,6,7,7,6,7,7,8,5,7,6,7,6,6,7,6,7,6,6,6,7,5,8,6,6,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,7,6,5,6,7,6,7,6,7,6,7,7,6,6,7,7,6,7,6,8,5,8,6,6,7,6,7,7,7,6,6,8,6,7,7,7,8,5,7,7,5,7,6,7,6,6,7,6,7,7,6
21,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,7,7,6,7,7,6,7,7,7,7,5,7,6,6,7,7,5,8,6,6,7,7,6,6,6,6,7,5,7,10,3,8,9,5,4,5,10,5,7,5,7,7,6,6,7,6,7,6,6,6,7,6,7,7,6,7,6,6,7,7,6,7,7,7,7,7,7,7,6,6,6,7,7,6,6,6,6,6,7,6,6,6,6,6,6,6,7,7,6
22,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,6,8,6,8,6,8,6,7,7,5,7,7,6,6,7,7,6,8,6,5,6,6,7,6,7,5,8,5,8,5,7,8,5,7,7,7,6,6,7,7,6,6,7,7,6,6,6,6,6,7,7,7,7,7,7,7,5,7,7,6,6,7,7,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
23,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,6,6,6,6,7,7,7,7,7,5,7,8,5,8,7,5,8,5,8,6,6,7,6,6,8,5,8,7,5,6,6,7,6,6,7,7,8,5,7,5,7,8,6,6,7,7,6,6,7,6,7,6,6,7,7,7,6,7,6,6,7,7,6,8,5,8,6,7,7,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6
24,7,4,4,9,9,6,6,5,7,8,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,6,7,6,7,7,6,7,6,7,7,6,6,6,7,6,6,7,6,6,7,6,7,6,6,7,5,7,7,6,7,6,7,6,6,6,6,7,7,6,7,6,7,6,7,6,7,5,7,6,6,8,5,7,7,5,7,7,5,7,7,6,6,7,6,7,8,4,8,6,7,6,7,7,7,7,7,5,7,7,6,7,6,7,7,2,11,12
25,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,6,6,6,6,6,7,7,7,7,6,7,6,6,7,7,6,7,6,6,7,6,7,7,7,7,7,7,7,6,6,6,7,7,7,7,5,6,7,6,7,6,7,6,7,6,7,6,6,7,7,7,7,6,7,7,6,6,7,6,7,6,7,6,6,6,8,6,6,7,7,6,8,6,7,7,6,7,6,7,6,6,7,6,7,7,7,7,7,6,6
26,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,6,6,7,7,7,6,6,6,7,7,7,6,7,6,6,6,7,6,7,7,6,7,7,6,6,7,6,7,6,6,7,7,6,7,6,6,7,6,7,7,6,7,6,6,6,6,7,7,6,5,8,6,6,8,6,6,6,7,6,7,6,6,7,7,6,6,7,6,7,6,7,6,6,7,6,6,7,6,8,6,7,7,6,7,7,6,6,6,7,7,6,6,6,6,6
27,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,7,6,7,6,7,7,6,6,7,7,6,7,7,7,7,7,6,7,6,7,6,6,6,7,7,6,6,7,7,6,7,7,7,7,6,6,7,7,6,6,6,7,7,6,6,7,6,6,7,7,6,6,6,7,6,7,7,6,7,6,7,7,6,7,6,7,7,7,6,7,6,7,7,5,8,6,7,6,7,7,6,6,6,7,6,6,7,6,6,6,6,7,7,6,6
28,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7,9,6,5,5,7,7,6,6,7,7,6,7,6,6,6,7,6,6,6,6,6,6,6,6,7,6,6,7,7,7,6,7,8,9,6,8,6,6,6,13,13,0,2,10,7,6,8,4,7,6,6,7,6,7,6,6,6,6,7,6,5,7,7,6,6,6,7,6,7,6,6,6,7,7,6,6,7,6,7,6,6,6,6,6,6,6,6
29,6,7,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,7,6,6,6,6,6,7,6,6,6,6,7,6,6,6,7,7,2,6,13,3,5,7,5,7,8,6,6,6,6,6,7,7,6,6,7,7,6,6,6,6,7,6,6,7,7,7,7,6,6,7,7,6,5,8,6,6,7,9,6,4,6,7,8,7,6,5,6,6,7,7,6,6,7,8,6,6,7,6,7,7,6,6,7,6,7,7,6,7,6,6,7,6,6,7,7,7,7,6,6,7,6,7,6,6,7,7,7
30,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,7,6,7,6,6,7,7,6,7,6,7,7,7,6,6,6,7,6,6,7,6,7,7,6,7,6,7,7,6,6,6,7,7,6,6,6,7,6,7,6,7,6,7,6,6,7,5,7,6,7,6,7,6,7,7,6,8,6,7,7,7,7,7,6,7,7,6,7,6,6,6,7,7,6,7,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6
31,6,6,7,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,7,7,6,7,6,7,6,7,6,7,6,7,6,7,7,6,6,7,7,7,7,7,7,6,6,6,7,7,6,6,6,7,6,6,7,7,7,6,6,7,7,7,6,7,6,7,6,6,7,7,6,6,7,7,6,6,7,7,6,6,7,7,7,7,6,7,6,7,7,6,7,6,6,6,6,7,6,7,7,6,7,7,6,6,7,7,6,6,7,6,7,7,7,7,6,6
32,6,5,7,7,5,6,8,7,6,6,7,7,6,6,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,6,6,8,6,6,7,6,7,6,6,6,7,6,6,6,7,8,4,9,11,3,5,8,7,6,7,7,6,7,7,7,7,7,6,7,7,6,6,6,6,7,6,6,6,6,6,7,8,7,0,1,9,5,13,13,5,5,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,7,6,6,7,7,6,6,7,7,6,6,6,6,6,6,7,7,6,6,7,7,6,6,7,7,6,7,6,7,6,7,6,7,6,7
33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,7,7,6,6,6,7,6,6,7,6,6,10,5,5,7,6,6,7,7,6,7,6,6,6,7,6,6,6,7,7,6,7,6,6,7,6,6,6,7,6,7,6,7,7,6,7,7,6,7,9,8,5,8,7,5,6,7,7,5,7,7,6,6,5,7,7,6,7,7,6,6,6,6,7,7,6,7,6,6,7,7,6,7,5,7,7,6,6,7,7,6,7,7,6,6,7,6,6,7
34,7,7,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,6,6,7,7,6,7,7,7,6,7,6,7,6,6,6,6,7,7,7,7,8,8,7,6,4,8,9,5,6,7,6,7,8,6,6,8,6,6,7,7,7,7,7,7,6,6,7,7,7,4,8,9,4,7,6,7,7,6,7,6,6,7,6,6,6,6,8,7,5,5,7,6,10,7,2,7,8,7,6,6,6,6,7,6,7,7,6,7,6,7,6
35,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,6,2,0,1,3,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,7,7,7,6,7,7,7,7,7,7,6,7,7,6,7,6,7,7,6,7,7,7,7,7,7,7,8,6,5,7,8,5,5,8,8,7,6,6,6,7,7,7,6
36,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,9,11,0,6,10,9,4,7,3,9,7,4,7,4,7,7,6,6,7,7,6,7,6,7,6,7,7,6,6,7,7,6,7,7,6,7,7,7,6,6,7,6,7,7,6,7,6,7,7,7,7,7,6,6,7,6,7,7,6,6,6,8,6,6,7,8,7,4,5,10,5,8,6,5,6,7,6,7,7,7,6,7,7,6,7,7,7,6,7,7,6,7,7,7,5,8,5,7,7,6,7,6,6,7,7,7,7,7,6,7,6,6,7,6,7,7,7,6,6,7,7,7,6,7
37,7,6,6,6,6,6,6,6,6,7,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,7,6,7,6,6,6,7,7,6,6,6,7,6,6,7,6,6,7,7,7,7,6,7,7,6,6,7,6,6,7,7,7,7,6,6,6,7,6,7,6,7,7,6,6,7,7,6,6,7,7,6,5,5,7,7,8,7,5,5,7,7,7,7,7,6,6,7,7,6,7,7,6,6,7,7,7,6,6,6,7,7,6,7,7,6,7,7,6,7,6,6,6,6,6,7,7,6,6,7,7
38,8,7,0,12,8,5,4,8,8,5,6,7,7,6,6,7,7,7,6,6,7,6,6,7,6,7,7,6,6,6,6,6,6,7,6,7,7,6,6,6,7,6,6,6,7,7,6,6,6,9,7,4,7,9,3,8,9,6,7,4,7,8,7,7,6,6,7,7,6,7,6,7,7,6,7,7,7,6,6,7,6,7,7,7,6,7,6,7,6,7,8,5,7,7,6,7,5,8,7,6,7,4,8,7,5,7,7,7,7,5,9,5,5,6,8,8,9,5,2,7,8,9,7,5,6,7,7,6,6,6,7,7,7,6,6,7,6,6,6
39,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,6,7,6,7,6,6,7,6,7,7,7,6,7,7,6,7,6,7,7,6,7,6,6,7,7,7,6,6,7,6,7,6,6,7,7,7,7,7,6,6,7,7,8,5,7,7,5,7,8,6,7,6,6,6,7,7,6,7,7,6,6,7,6,7,6,7,7,6,8,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,7,7,6,4,10,11,4
40,7,7,7,7,7,6,7,6,7,7,6,7,6,6,8,6,6,6,7,6,6,7,7,6,6,6,6,6,6,6,6,7,6,6,6,7,7,5,6,5,11,8,6,6,6,7,7,5,7,5,1,13,0,1,12,7,6,7,7,7,7,8,9,8,5,7,7,5,6,7,7,6,7,7,6,5,6,7,8,7,7,7,7,7,7,7,7,5,5,9,10,4,1,9,13,1,3,10,9,3,6,7,6,6,7,7,6,6,6,6,7,6,6,6,6,7,6,7,7,6,6,6,7,6,6,7,9,1,5,13,4,4,5,7,8,7,6,7,6
41,7,6,7,6,7,7,6,7,6,8,4,7,8,6,6,7,7,6,6,7,6,6,7,7,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,4,11,5,2,12,3,7,7,6,6,6,7,6,7,6,7,7,7,6,7,7,7,7,7,6,7,6,7,6,7,6,7,6,7,6,7,7,5,7,6,7,6,4,11,6,0,10,10,4,4,9,7,5,6,6,6,6,7,7,7,7,6,6,7,7,6,7,6,7,7,7,7,6,7,7,6,6,7,7,6,6,5,8,6,7,7,5,6,6,7,7,7,6,6,6,6,7,7
42,6,7,6,6,6,8,5,7,6,7,5,8,7,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,7,6,7,7,7,6,6,10,6,7,8,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,7,6,7,6,6,7,6,6,7,6,6,6,7,6,7,6,6,7,6,7,6,7,7,6,6,6,7,7,6,6,6,9,6,7,1,12,6,3,12,1,7,11
43,6,6,7,6,6,7,7,6,7,6,6,7,7,6,6,6,8,8,6,3,9,9,5,4,8,5,9,6,6,6,7,6,6,7,7,6,7,7,6,6,7,7,6,6,6,7,5,8,11,2,4,7,9,7,7,6,6,6,7,7,7,7,7,6,7,6,7,7,6,6,6,7,7,6,7,6,7,6,7,6,7,7,6,7,6,6,7,7,6,6,7,6,6,7,7,7,6,7,6,8,7,6,7,7,6,6,6,6,7,6,7,6,7,6,6,7,6,7,6,7,7,7,6,6,6,7,6,5,8,7,6,5,7,6,8,6,6,5,7
44,6,6,6,7,6,6,6,7,7,7,7,6,6,6,6,6,6,7,6,6,7,6,7,7,6,6,6,7,6,6,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,7,6,6,7,6,7,5,7,6,6,7,6,7,6,6,6,7,6,7,6,7,7,7,7,6,6,6,7,7,6,6,6,7,7,7,7,7,7,6,7,6,6,7,6,6,7,7,8,4,8,6,6,6,7,5,8,6,7,7,5,7,7,6,7,7,6,6,7,6,7,6,7,7,6,7,7,6,8,6,7,6,7,7,7,6,6,6
45,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,7,6,6,6,6,7,7,6,6,7,6,6,6,6,7,7,6,6,7,6,6,6,6,6,6,6,6,7,6,7,6,6,6,6,7,6,7,7,6,7,7,6,7,6,7,7,6,7,6,7,7,6,7,7,6,7,6,6,7,6,7,6,7,7,6,7,6,6,7,7,6,7,6,7,6,8,5,7,7,6,7,7,7,7,7,6,6,6,6,8,7,6,7,6,7,7,6,7,7,7,7,6,7,7,7,5,7,6,7,6,6,7,6,7
46,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,5,8,5,7,7,6,6,7,7,6,7,6,7,6,7,6,7,7,7,5,6,7,7,7,7,7,6,6,6,6,6,7,7,7,6,7,7,7,7,5,8,7,6,6,7,7,6,5,8,5,7,6,7,7,6,7,7,7,7,7,7,6,6,6,6,7,6,6,7,6,7,6,7,6,6,7,7,7,6,7,6,7,6,7,7,7,6,6
47,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,7,7,6,7,7,6,6,7,6,6,6,7,6,7,7,6,6,6,6,6,6,6,7,7,6,7,6,6,7,6,7,6,7,6,6,6,7,7,7,6,6,7,5,7,7,6,6,7,7,6,7,7,5,7,7,6,6,7,6,7,7,7,6,6,7,6,7,6,7,7,7,6,6,6,7,7,7,7,7,6,7,7,7,6,6,6,7,6,7,6
